CO-BRANCH;OFFICE;;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
371 - PANGKAL PINANG;371 - PANGKAL PINANG;PANGKAL PINANG;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0; 51.667.700 ;0;0; 101.310.000 ; -   ; -   ; -   ; -   
371 - PANGKAL PINANG;371 - PANGKAL PINANG;PANGKAL PINANG;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
371 - PANGKAL PINANG;371 - PANGKAL PINANG;PANGKAL PINANG;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0;0;0; 45.600.000 ;0;0; -   ; -   ; -   ; -   
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;KCP TANJUNG PANDAN;ASHA Prima;Referral;0;0;0;0;0;0;0;0; 16.000.000 ; 51.556.100 ; 16.000.000 ; 48.000.000 ; 20.000.000 ; 16.000.000 ; -   ; -   ; -   ; -   
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;KCP TANJUNG PANDAN;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0; 51.841.300 ;0; -   ; -   ; -   ; -   
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;KCP TANJUNG PANDAN;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;KCP TANJUNG PANDAN;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0; 7.500.000 ;0; 7.500.000 ;0; 11.400.000 ; -   ; -   ; -   ; -   
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;KCP SUNGAILIAT;ASHA Prima;Referral;0;0;0;0;0;0;0;0; 30.000.000 ; 51.000.000 ; 30.000.000 ; 18.000.000 ; 36.000.000 ; 16.000.000 ; 20.000.000 ; -   ; 20.000.000 ; 90.000.000 
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;KCP SUNGAILIAT;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;KCP SUNGAILIAT;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
